Metric,Level,Location Type,Location,Original Division,Final Division,Mapping Status,Matched Evidence,Hierarchy Path
Leader Effectiveness,2,FRL,1000400 OSED CFD Poinciana,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000400 OSED CFD Poinciana
Leader Effectiveness,2,FRL,1000401 OSED Meadow Woods,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000401 OSED Meadow Woods
Leader Effectiveness,2,FRL,1000402 OSED CFD Sanford,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000402 OSED CFD Sanford
Leader Effectiveness,2,FRL,1000494 OSED CFD Sand Lake,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1045 AdventHealth Orlando > 1000494 OSED CFD Sand Lake
Leader Effectiveness,2,Costing Company,1052 AdventHealth Medical Group Central Florida,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida
Leader Effectiveness,2,FRL,1000183 AHMG CFD Central Florida,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000183 AHMG CFD Central Florida
Leader Effectiveness,2,FRL,1000184 AHMG CFD Central Florida Primary Care,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000184 AHMG CFD Central Florida Primary Care
Leader Effectiveness,2,FRL,1000185 AHMG CFD Central Florida System Physician,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000185 AHMG CFD Central Florida System Physician
Leader Effectiveness,2,FRL,1000186 AHMG CFD Orlando,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000186 AHMG CFD Orlando
Leader Effectiveness,2,FRL,1000187 AHMG CFD Altamonte Springs,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000187 AHMG CFD Altamonte Springs
Leader Effectiveness,2,FRL,1000188 AHMG CFD Apopka,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000188 AHMG CFD Apopka
Leader Effectiveness,2,FRL,1000189 AHMG CFD Winter Garden,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000189 AHMG CFD Winter Garden
Leader Effectiveness,2,FRL,1000190 AHMG CFD East Orlando,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000190 AHMG CFD East Orlando
Leader Effectiveness,2,FRL,1000191 AHMG CFD Winter Park,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000191 AHMG CFD Winter Park
Leader Effectiveness,2,FRL,1000192 AHMG CFD Kissimmee,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000192 AHMG CFD Kissimmee
Leader Effectiveness,2,FRL,1000193 AHMG CFD Celebration,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000193 AHMG CFD Celebration
Leader Effectiveness,2,FRL,1000194 AHMG CFD Waterman,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000194 AHMG CFD Waterman
Leader Effectiveness,2,FRL,1000195 AHMG CFD North,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000195 AHMG CFD North
Leader Effectiveness,2,FRL,1000198 AHMG CFD Heart of Florida,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000198 AHMG CFD Heart of Florida
Leader Effectiveness,2,FRL,1000389 AHMG CFD PSA Lite,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,ORIGINAL_DIVISION_OUTPUT,Division normalization disabled in sandbox,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1052 AdventHealth Medical Group Central Florida > 1000389 AHMG CFD PSA Lite
