ItemType,Classification,Name,Extension,RelativePath,FullPath,SizeBytes,SizeMB,Created,LastModified
File,GENERATED WEBSITE ARTIFACT,validation_summary.json,.json,vision2030_contemporary_site\generated\validation_summary.json,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\generated\validation_summary.json,174,0.0002,2026-08-17 14:09:01,2026-08-17 15:01:12
File,HTML FILE,index.html,.html,vision2030_contemporary_site\index.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\index.html,98,0.0001,2026-08-17 16:39:20,2026-08-17 16:39:20
File,HTML FILE,insights.html,.html,vision2030_contemporary_site\insights.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\insights.html,3359060,3.2034,2026-08-17 15:01:12,2026-08-17 15:01:12
File,INSPECTION SCRIPT,inspect_briefing_selector.py,.py,vision2030_contemporary_site\inspect_briefing_selector.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\inspect_briefing_selector.py,3097,0.003,2026-08-17 14:34:55,2026-08-17 14:34:55
File,PYTHON SCRIPT,patch_selector_metadata.py,.py,vision2030_contemporary_site\patch_selector_metadata.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\patch_selector_metadata.py,6789,0.0065,2026-08-17 14:30:27,2026-08-17 14:30:27
File,UNCLASSIFIED,README.txt,.txt,vision2030_contemporary_site\README.txt,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\README.txt,617,0.0006,2026-08-17 16:39:20,2026-08-17 16:39:20
Directory,Directory,reset_label_backups,,vision2030_contemporary_site\reset_label_backups,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\reset_label_backups,0,0.0,2026-08-17 15:00:09,2026-08-17 15:00:49
Directory,Directory,2026-08-17_150009,,vision2030_contemporary_site\reset_label_backups\2026-08-17_150009,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\reset_label_backups\2026-08-17_150009,0,0.0,2026-08-17 15:00:09,2026-08-17 15:00:49
File,ACTIVE WEBSITE RUNNER,run_vision2030.py,.py,vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\run_vision2030.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\run_vision2030.py,16945,0.0162,2026-08-17 15:00:09,2026-08-17 14:30:27
Directory,Directory,templates,,vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\templates,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\templates,0,0.0,2026-08-17 15:00:09,2026-08-17 15:00:49
File,ACTIVE WEBSITE TEMPLATE,briefing.html,.html,vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\templates\briefing.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\templates\briefing.html,484571,0.4621,2026-08-17 15:00:09,2026-08-17 14:46:36
File,ACTIVE WEBSITE TEMPLATE,data_explorer.html,.html,vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\templates\data_explorer.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\templates\data_explorer.html,517149,0.4932,2026-08-17 15:00:09,2026-08-17 14:46:36
File,ACTIVE WEBSITE TEMPLATE,insights.html,.html,vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\templates\insights.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\reset_label_backups\2026-08-17_150009\templates\insights.html,517149,0.4932,2026-08-17 15:00:09,2026-08-17 14:46:36
File,UNCLASSIFIED,run_local.ps1,.ps1,vision2030_contemporary_site\run_local.ps1,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\run_local.ps1,210,0.0002,2026-08-17 16:39:20,2026-08-17 16:39:20
File,ACTIVE WEBSITE RUNNER,run_vision2030.py,.py,vision2030_contemporary_site\run_vision2030.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\run_vision2030.py,16951,0.0162,2026-08-17 15:00:09,2026-08-17 15:00:09
File,RUNNER BACKUP,run_vision2030_backup_2026-08-17_135131.py,.py,vision2030_contemporary_site\run_vision2030_backup_2026-08-17_135131.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\run_vision2030_backup_2026-08-17_135131.py,5976,0.0057,2026-08-17 13:51:32,2026-08-17 16:39:20
File,RUNNER BACKUP,run_vision2030_backup_2026-08-17_135156.py,.py,vision2030_contemporary_site\run_vision2030_backup_2026-08-17_135156.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\run_vision2030_backup_2026-08-17_135156.py,5976,0.0057,2026-08-17 13:51:56,2026-08-17 16:39:20
File,RUNNER BACKUP,run_vision2030_backup_2026-08-17_135414.py,.py,vision2030_contemporary_site\run_vision2030_backup_2026-08-17_135414.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\run_vision2030_backup_2026-08-17_135414.py,5976,0.0057,2026-08-17 13:54:16,2026-08-17 16:39:20
File,RUNNER BACKUP,run_vision2030_backup_2026-08-17_140857.py,.py,vision2030_contemporary_site\run_vision2030_backup_2026-08-17_140857.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\run_vision2030_backup_2026-08-17_140857.py,5976,0.0057,2026-08-17 14:08:58,2026-08-17 16:39:20
Directory,Directory,runner_backups,,vision2030_contemporary_site\runner_backups,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\runner_backups,0,0.0,2026-08-17 14:29:22,2026-08-17 14:29:48
File,RUNNER BACKUP,run_vision2030_2026-08-17_142922.py,.py,vision2030_contemporary_site\runner_backups\run_vision2030_2026-08-17_142922.py,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\runner_backups\run_vision2030_2026-08-17_142922.py,13854,0.0132,2026-08-17 14:29:22,2026-08-17 17:47:06
Directory,Directory,template_backups,,vision2030_contemporary_site\template_backups,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\template_backups,0,0.0,2026-08-17 14:27:46,2026-08-17 14:46:36
Directory,Directory,2026-08-17_142746,,vision2030_contemporary_site\template_backups\2026-08-17_142746,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\template_backups\2026-08-17_142746,0,0.0,2026-08-17 14:27:46,2026-08-17 14:28:22
File,TEMPLATE BACKUP,briefing.html,.html,vision2030_contemporary_site\template_backups\2026-08-17_142746\briefing.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\template_backups\2026-08-17_142746\briefing.html,485778,0.4633,2026-08-17 14:27:46,2026-08-17 16:20:34
File,TEMPLATE BACKUP,data_explorer.html,.html,vision2030_contemporary_site\template_backups\2026-08-17_142746\data_explorer.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\template_backups\2026-08-17_142746\data_explorer.html,518356,0.4943,2026-08-17 14:27:46,2026-08-17 16:20:34
File,TEMPLATE BACKUP,insights.html,.html,vision2030_contemporary_site\template_backups\2026-08-17_142746\insights.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\template_backups\2026-08-17_142746\insights.html,518356,0.4943,2026-08-17 14:27:46,2026-08-17 16:20:34
Directory,Directory,2026-08-17_142842,,vision2030_contemporary_site\template_backups\2026-08-17_142842,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\template_backups\2026-08-17_142842,0,0.0,2026-08-17 14:28:42,2026-08-17 14:29:04
File,TEMPLATE BACKUP,briefing.html,.html,vision2030_contemporary_site\template_backups\2026-08-17_142842\briefing.html,C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\vision2030_contemporary_site\template_backups\2026-08-17_142842\briefing.html,485778,0.4633,2026-08-17 14:28:42,2026-08-17 16:20:34
