Workbook Sheet,Workbook Row,Metric,Level,Location Type,Location,Original Division,Final Division,Report Geography,Mapping Status,Confidence,Matched Evidence,Hierarchy Path
Team,2705,Total Turnover (Rolling 12),2,Cost Center,110881 RHBSRV OP Ctr Occupational Therapy Innovation Twr,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110881 RHBSRV OP Ctr Occupational Therapy Innovation Twr
Team,2706,Total Turnover (Rolling 12),2,Cost Center,110883 RHBSRV OP Ctr Physical Therapy WP Village,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110883 RHBSRV OP Ctr Physical Therapy WP Village
Team,2707,Total Turnover (Rolling 12),2,Cost Center,110886 RHBSRV OP Ctr Physical Therapy Celebration,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Celebration,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110886 RHBSRV OP Ctr Physical Therapy Celebration
Team,2708,Total Turnover (Rolling 12),2,Cost Center,110887 RHBSRV OP Ctr Physical Therapy East,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110887 RHBSRV OP Ctr Physical Therapy East
Team,2709,Total Turnover (Rolling 12),2,Cost Center,110888 RHBSRV OP Ctr Physical Therapy Kissimmee,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Kissimmee,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110888 RHBSRV OP Ctr Physical Therapy Kissimmee
Team,2710,Total Turnover (Rolling 12),2,Cost Center,110889 RHBSRV OP Ctr Physical Therapy Lake Mary,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110889 RHBSRV OP Ctr Physical Therapy Lake Mary
Team,2711,Total Turnover (Rolling 12),2,Cost Center,110890 RHBSRV OP Ctr Physical Therapy Lake Nona,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110890 RHBSRV OP Ctr Physical Therapy Lake Nona
Team,2712,Total Turnover (Rolling 12),2,Cost Center,110891 RHBSRV OP Ctr Physical Therapy Dr Phillips,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110891 RHBSRV OP Ctr Physical Therapy Dr Phillips
Team,2713,Total Turnover (Rolling 12),2,Cost Center,110892 RHBSRV OP Ctr Physical Therapy SODO,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110892 RHBSRV OP Ctr Physical Therapy SODO
Team,2714,Total Turnover (Rolling 12),2,Cost Center,110893 RHBSRV OP Ctr Physical Therapy Oviedo,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110893 RHBSRV OP Ctr Physical Therapy Oviedo
Team,2715,Total Turnover (Rolling 12),2,Cost Center,110895 RHBSRV OP Ctr Physical Therapy Pevlic,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110895 RHBSRV OP Ctr Physical Therapy Pevlic
Team,2716,Total Turnover (Rolling 12),2,Cost Center,110896 RHBSRV OP Ctr Physical Therapy Orlando Sportsplex,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Orlando,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110896 RHBSRV OP Ctr Physical Therapy Orlando Sportsplex
Team,2717,Total Turnover (Rolling 12),2,Cost Center,110898 RHBSRV OP Ctr Physical Therapy Waterford Lakes,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110898 RHBSRV OP Ctr Physical Therapy Waterford Lakes
Team,2718,Total Turnover (Rolling 12),2,Cost Center,110899 RHBSRV OP Ctr Physical Therapy Winter Garden,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Winter Garden,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110899 RHBSRV OP Ctr Physical Therapy Winter Garden
Team,2719,Total Turnover (Rolling 12),2,Cost Center,110900 RHBSRV OP Ctr Physical Therapy Winter Park,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_FACILITY_TO_DIVISION,high,Winter Park,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110900 RHBSRV OP Ctr Physical Therapy Winter Park
Team,2720,Total Turnover (Rolling 12),2,Cost Center,110901 RHBSRV OP Ctr Physical Therapy Wekiva,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110901 RHBSRV OP Ctr Physical Therapy Wekiva
Team,2721,Total Turnover (Rolling 12),2,Cost Center,110903 RHBSRV OP Ctr Physical Therapy Clermont HP,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy > 1054 AdventHealth Imaging Central Florida > 1000205 Imaging CFD OP Rehab > 110903 RHBSRV OP Ctr Physical Therapy Clermont HP
