Row ID,Business Area,Metric,Matched Division,Source Division,Location Type,Location,Original Division,Report Geography,Mapping Status,Mapping Confidence,Mapping Evidence,Value,Local Goal,Derived Goal Status,Status Basis,Source Variance,Source Variance Color,YTD,Data As Of
LEARNING::54,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1042 AdventHealth Surgery Center Shawnee Mission,MSD 2,N/A,N/A,N/A,N/A,73.5,≥ 81,missed,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::55,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1043 The Bariatric Center of Kansas City,MSD 2,N/A,N/A,N/A,N/A,89.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::56,Learning,Leader Effectiveness (Facility Leadership),Multi-State Division 2,MSD 2,Costing Company,1044 AdventHealth Ottawa,MSD 2,N/A,N/A,N/A,N/A,84.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::57,Learning,Leader Effectiveness (Facility Leadership),Central Florida Division,CFD,Costing Company,1045 AdventHealth Orlando,CFD,N/A,N/A,N/A,N/A,86.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::58,Learning,Leader Effectiveness (Facility Leadership),West Florida Division,WFD,Costing Company,1046 AdventHealth Heart of Florida,WFD,N/A,N/A,N/A,N/A,85.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::59,Learning,Leader Effectiveness (Facility Leadership),West Florida Division,WFD,Costing Company,1047 AdventHealth Lake Wales,WFD,N/A,N/A,N/A,N/A,82.5,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::60,Learning,Leader Effectiveness (Facility Leadership),Primary Health Division,PHD,Costing Company,1049 AdventHealth Total Health Management,PHD,N/A,N/A,N/A,N/A,84.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::61,Learning,Leader Effectiveness (Facility Leadership),Primary Health Division,PHD,Costing Company,1050 Healthfirst AdventHealth Centra Care,PHD,N/A,N/A,N/A,N/A,83.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::62,Learning,Leader Effectiveness (Facility Leadership),Central Florida Division,CFD,Costing Company,1052 AdventHealth Medical Group Central Florida,CFD,N/A,N/A,N/A,N/A,85.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::63,Learning,Leader Effectiveness (Facility Leadership),Central Florida Division,CFD,Costing Company,1053 AdventHealth University,CFD,N/A,N/A,N/A,N/A,84.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::64,Learning,Leader Effectiveness (Facility Leadership),Central Florida Division,CFD,Costing Company,1054 AdventHealth Imaging Central Florida,CFD,N/A,N/A,N/A,N/A,83.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::65,Learning,Leader Effectiveness (Facility Leadership),Primary Health Division,PHD,Costing Company,1057 AdventHealth Home Health and Hospice Inc,PHD,N/A,N/A,N/A,N/A,85.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
LEARNING::66,Learning,Leader Effectiveness (Facility Leadership),West Florida Division,WFD,Costing Company,1059 AdventHealth Tampa,WFD,N/A,N/A,N/A,N/A,83.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::67,Learning,Leader Effectiveness (Facility Leadership),East Florida Division,EFD,Costing Company,1060 AdventHealth Ocala,EFD,N/A,N/A,N/A,N/A,84.2,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.0%,green,N/A,Mar 2026
LEARNING::68,Learning,Leader Effectiveness (Facility Leadership),West Florida Division,WFD,Costing Company,1062 AdventHealth Carrollwood,WFD,N/A,N/A,N/A,N/A,86.0,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
