sheet,row,metric,level,location_type,location,real_division,rough_division,recommended_division,confidence,mapping_status,evidence,hierarchy_path,report_support,real_value,rough_value,goal,data_as_of,changed_fields
Team,269,Forecast and Hire,2,FRL,1000405 Home Health Altamonte Springs FL,Primary Health Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Altamonte Springs,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000405 Home Health Altamonte Springs FL,Exact facility listed under division in June report,28,28,"≥ 12,176",Jul 2026,Division
Team,270,Forecast and Hire,2,FRL,1000406 Home Health Kissimmee,Primary Health Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_FACILITY_TO_DIVISION,Kissimmee,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000406 Home Health Kissimmee,Exact facility listed under division in June report,5,5,"≥ 12,176",Jul 2026,Division
Team,271,Forecast and Hire,2,FRL,1000407 Home Health Ormond Beach FL,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000407 Home Health Ormond Beach FL,Canonical match to a division heading in the June report,9,9,"≥ 12,176",Jul 2026,Division
Team,272,Forecast and Hire,2,FRL,1000408 Home Health Leesburg FL,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000408 Home Health Leesburg FL,Canonical match to a division heading in the June report,11,11,"≥ 12,176",Jul 2026,Division
Team,273,Forecast and Hire,2,FRL,1000409 Home Health Temple Terrace FL,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000409 Home Health Temple Terrace FL,Canonical match to a division heading in the June report,4,4,"≥ 12,176",Jul 2026,Division
Team,274,Forecast and Hire,2,FRL,1000410 Home Health Winter Haven FL,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000410 Home Health Winter Haven FL,Canonical match to a division heading in the June report,4,4,"≥ 12,176",Jul 2026,Division
Team,275,Forecast and Hire,2,FRL,1000411 Home Health Dade City FL,Primary Health Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Dade City,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000411 Home Health Dade City FL,Exact facility listed under division in June report,2,2,"≥ 12,176",Jul 2026,Division
Team,276,Forecast and Hire,2,FRL,1000414 Home Health Sebring,Primary Health Division Cost Centers by Reporting Hierarchy,WFD,WFD,high,CONFIRMED_FACILITY_TO_DIVISION,Sebring,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000414 Home Health Sebring,Exact facility listed under division in June report,2,2,"≥ 12,176",Jul 2026,Division
Team,277,Forecast and Hire,2,FRL,1000415 Home Health Calhoun GA,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000415 Home Health Calhoun GA,Canonical match to a division heading in the June report,3,3,"≥ 12,176",Jul 2026,Division
Team,278,Forecast and Hire,2,FRL,1000416 Home Health Shawnee,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000416 Home Health Shawnee,Canonical match to a division heading in the June report,2,2,"≥ 12,176",Jul 2026,Division
Team,279,Forecast and Hire,2,FRL,1000417 Home Health Manchester,Primary Health Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_FACILITY_TO_DIVISION,Manchester,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy > 1057 AdventHealth Home Health and Hospice Inc > 1000417 Home Health Manchester,Exact facility listed under division in June report,1,1,"≥ 12,176",Jul 2026,Division
